Unidades territoriales;Indicadores de renta media;Periodo;Total
2100601002 Alosno sección 01002;Renta media por persona ;2016;7.762
2100601002 Alosno sección 01002;Renta media por persona ;2015;7.417
2100601002 Alosno sección 01002;Renta media por hogar;2017;19.236
2100601002 Alosno sección 01002;Renta media por hogar;2016;18.516
2100601002 Alosno sección 01002;Renta media por hogar;2015;18.053
2100602 Alosno distrito 02;Renta media por persona ;2017;8.227
2100602 Alosno distrito 02;Renta media por persona ;2016;7.784
2100602 Alosno distrito 02;Renta media por persona ;2015;7.563
2100602 Alosno distrito 02;Renta media por hogar;2017;18.616
2100602 Alosno distrito 02;Renta media por hogar;2016;17.900
2100602 Alosno distrito 02;Renta media por hogar;2015;17.624
2100602001 Alosno sección 02001;Renta media por persona ;2017;8.411
2100602001 Alosno sección 02001;Renta media por persona ;2016;8.058
2100602001 Alosno sección 02001;Renta media por persona ;2015;7.837
2100602001 Alosno sección 02001;Renta media por hogar;2017;17.386
2100602001 Alosno sección 02001;Renta media por hogar;2016;17.080
2100602001 Alosno sección 02001;Renta media por hogar;2015;16.766
2100602002 Alosno sección 02002;Renta media por persona ;2017;8.088
2100602002 Alosno sección 02002;Renta media por persona ;2016;7.574
2100602002 Alosno sección 02002;Renta media por persona ;2015;7.352
2100602002 Alosno sección 02002;Renta media por hogar;2017;19.708
2100602002 Alosno sección 02002;Renta media por hogar;2016;18.633
2100602002 Alosno sección 02002;Renta media por hogar;2015;18.398
21007 Aracena;Renta media por persona ;2017;8.650
21007 Aracena;Renta media por persona ;2016;8.381
21007 Aracena;Renta media por persona ;2015;7.986
21007 Aracena;Renta media por hogar;2017;22.092
21007 Aracena;Renta media por hogar;2016;21.496
21007 Aracena;Renta media por hogar;2015;20.473
2100701 Aracena distrito 01;Renta media por persona ;2017;7.454
2100701 Aracena distrito 01;Renta media por persona ;2016;7.151
2100701 Aracena distrito 01;Renta media por persona ;2015;7.000
2100701 Aracena distrito 01;Renta media por hogar;2017;18.908
2100701 Aracena distrito 01;Renta media por hogar;2016;18.372
2100701 Aracena distrito 01;Renta media por hogar;2015;17.948
2100701001 Aracena sección 01001;Renta media por persona ;2017;7.540
2100701001 Aracena sección 01001;Renta media por persona ;2016;7.312
2100701001 Aracena sección 01001;Renta media por persona ;2015;7.137
2100701001 Aracena sección 01001;Renta media por hogar;2017;19.533
2100701001 Aracena sección 01001;Renta media por hogar;2016;19.232
2100701001 Aracena sección 01001;Renta media por hogar;2015;18.767
2100701002 Aracena sección 01002;Renta media por persona ;2017;7.312
2100701002 Aracena sección 01002;Renta media por persona ;2016;6.863
2100701002 Aracena sección 01002;Renta media por persona ;2015;6.751
2100701002 Aracena sección 01002;Renta media por hogar;2017;17.928
2100701002 Aracena sección 01002;Renta media por hogar;2016;16.922
2100701002 Aracena sección 01002;Renta media por hogar;2015;16.564
2100702 Aracena distrito 02;Renta media por persona ;2017;8.599
2100702 Aracena distrito 02;Renta media por persona ;2016;8.115
2100702 Aracena distrito 02;Renta media por persona ;2015;8.058
2100702 Aracena distrito 02;Renta media por hogar;2017;19.499
2100702 Aracena distrito 02;Renta media por hogar;2016;18.667
2100702 Aracena distrito 02;Renta media por hogar;2015;18.665
2100702001 Aracena sección 02001;Renta media por persona ;2017;8.599
2100702001 Aracena sección 02001;Renta media por persona ;2016;8.115
2100702001 Aracena sección 02001;Renta media por persona ;2015;8.058
2100702001 Aracena sección 02001;Renta media por hogar;2017;19.499
2100702001 Aracena sección 02001;Renta media por hogar;2016;18.667
2100702001 Aracena sección 02001;Renta media por hogar;2015;18.665
2100703 Aracena distrito 03;Renta media por persona ;2017;9.147
2100703 Aracena distrito 03;Renta media por persona ;2016;8.906
2100703 Aracena distrito 03;Renta media por persona ;2015;8.375
2100703 Aracena distrito 03;Renta media por hogar;2017;23.847
2100703 Aracena distrito 03;Renta media por hogar;2016;23.135
2100703 Aracena distrito 03;Renta media por hogar;2015;21.736
2100703001 Aracena sección 03001;Renta media por persona ;2017;9.196
2100703001 Aracena sección 03001;Renta media por persona ;2016;9.165
2100703001 Aracena sección 03001;Renta media por persona ;2015;8.633
2100703001 Aracena sección 03001;Renta media por hogar;2017;23.262
2100703001 Aracena sección 03001;Renta media por hogar;2016;23.151
2100703001 Aracena sección 03001;Renta media por hogar;2015;22.134
2100703002 Aracena sección 03002;Renta media por persona ;2017;10.163
2100703002 Aracena sección 03002;Renta media por persona ;2016;9.895
2100703002 Aracena sección 03002;Renta media por persona ;2015;8.459
2100703002 Aracena sección 03002;Renta media por hogar;2017;25.563
2100703002 Aracena sección 03002;Renta media por hogar;2016;25.135
2100703002 Aracena sección 03002;Renta media por hogar;2015;20.965
2100703003 Aracena sección 03003;Renta media por persona ;2017;8.339
2100703003 Aracena sección 03003;Renta media por persona ;2016;8.083
2100703003 Aracena sección 03003;Renta media por persona ;2015;8.046
2100703003 Aracena sección 03003;Renta media por hogar;2017;22.357
2100703003 Aracena sección 03003;Renta media por hogar;2016;21.569
2100703003 Aracena sección 03003;Renta media por hogar;2015;21.256
2100703004 Aracena sección 03004;Renta media por persona ;2017;9.067
2100703004 Aracena sección 03004;Renta media por persona ;2016;8.686
2100703004 Aracena sección 03004;Renta media por persona ;2015;8.399
2100703004 Aracena sección 03004;Renta media por hogar;2017;24.357
2100703004 Aracena sección 03004;Renta media por hogar;2016;22.932
2100703004 Aracena sección 03004;Renta media por hogar;2015;22.512
21008 Aroche;Renta media por persona ;2017;7.301
21008 Aroche;Renta media por persona ;2016;7.116
21008 Aroche;Renta media por persona ;2015;6.765
21008 Aroche;Renta media por hogar;2017;17.108
21008 Aroche;Renta media por hogar;2016;16.765
21008 Aroche;Renta media por hogar;2015;16.319
2100801 Aroche distrito 01;Renta media por persona ;2017;7.870
2100801 Aroche distrito 01;Renta media por persona ;2016;7.629
2100801 Aroche distrito 01;Renta media por persona ;2015;7.279
2100801 Aroche distrito 01;Renta media por hogar;2017;17.937
2100801 Aroche distrito 01;Renta media por hogar;2016;17.408
2100801 Aroche distrito 01;Renta media por hogar;2015;16.813
2100801001 Aroche sección 01001;Renta media por persona ;2017;7.870
2100801001 Aroche sección 01001;Renta media por persona ;2016;7.629
2100801001 Aroche sección 01001;Renta media por persona ;2015;7.279
2100801001 Aroche sección 01001;Renta media por hogar;2017;17.937
2100801001 Aroche sección 01001;Renta media por hogar;2016;17.408
2100801001 Aroche sección 01001;Renta media por hogar;2015;16.813
2100802 Aroche distrito 02;Renta media por persona ;2017;6.804
2100802 Aroche distrito 02;Renta media por persona ;2016;6.655
2100802 Aroche distrito 02;Renta media por persona ;2015;6.368
2100802 Aroche distrito 02;Renta media por hogar;2017;16.459
2100802 Aroche distrito 02;Renta media por hogar;2016;16.293
2100802 Aroche distrito 02;Renta media por hogar;2015;16.161
2100802001 Aroche sección 02001;Renta media por persona ;2017;6.804
2100802001 Aroche sección 02001;Renta media por persona ;2016;6.655
