"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"03081","Alicante/Alacant","Xaló",88.6039571150097,80.32625,97.13375,0.00682261208576998,3605
"03082","Alicante/Alacant","Jávea/Xàbia",61.1009941520468,58.98875,63.2675,0,7974
"03083","Alicante/Alacant","Jijona/Xixona",108.768810916179,102.6625,114.6,0.997076023391813,675
"03084","Alicante/Alacant","Lorcha/Orxa, l'",101.853996101365,89.49125,115.5125,0.590643274853801,1355
"03085","Alicante/Alacant","Llíber",81.4579239766082,69.20625,94.0625,0.00194931773879142,5128
"03086","Alicante/Alacant","Millena",98.6542884990253,80.19375,119.6375,0.415204678362573,1803
"03088","Alicante/Alacant","Monforte del Cid",90.4709649122807,84.26625,97.22375,0.00194931773879142,3260
"03089","Alicante/Alacant","Monóvar/Monòver",98.3757602339181,93.37875,103.4375,0.251461988304094,1854
"03090","Alicante/Alacant","Mutxamel",108.503167641326,103.4,113.6375,0.998050682261209,697
"03091","Alicante/Alacant","Murla",74.3499707602339,62.44,87.5725,0,6633
"03092","Alicante/Alacant","Muro de Alcoy",101.134259259259,94.78625,107.5375,0.623781676413255,1437
"03093","Alicante/Alacant","Novelda",97.9948050682261,94.26875,101.7375,0.135477582846004,1905
"03094","Alicante/Alacant","Nucia, la",53.8374171539961,50.84,56.845,0,8059
"03095","Alicante/Alacant","Ondara",110.748538011696,102.925,118.9,0.994152046783626,530
"03096","Alicante/Alacant","Onil",91.7739278752437,85.7525,98.43625,0.0087719298245614,2984
"03097","Alicante/Alacant","Orba",88.5322709551657,80.735,97.38125,0.00194931773879142,3617
"03098","Alicante/Alacant","Orxeta",121.554376218324,103.2375,142.6,0.991228070175439,112
"03099","Alicante/Alacant","Orihuela",86.4217446393762,84.55375,88.37375,0,4049
"03100","Alicante/Alacant","Parcent",74.589269005848,64.7275,85.77,0,6584
"03101","Alicante/Alacant","Pedreguer",96.7155750487329,90.795,103.0375,0.142300194931774,2106
"03102","Alicante/Alacant","Pego",91.625,87.16125,96.06,0,3018
"03103","Alicante/Alacant","Penàguila",84.3824269005848,71.625,98.74125,0.0185185185185185,4505
"03104","Alicante/Alacant","Petrer",88.4233333333333,85.1825,91.6375,0,3641
"03105","Alicante/Alacant","Pinós, el/Pinoso",89.2798343079922,83.62625,95.33875,0.000974658869395711,3448
"03106","Alicante/Alacant","Planes",96.1800292397661,84.13625,109.0375,0.252436647173489,2203
"03107","Alicante/Alacant","Polop",86.2120760233918,78.3,94.57,0.00194931773879142,4108
"03109","Alicante/Alacant","Rafal",104.459541910331,93.61875,115.25,0.797270955165692,1037
"03110","Alicante/Alacant","Ràfol d'Almúnia, el",92.3057212475634,78.4775,107.1125,0.149122807017544,2885
"03111","Alicante/Alacant","Redován",104.935263157895,97.0925,112.9,0.888888888888889,985
"03112","Alicante/Alacant","Relleu",97.5876023391813,86.5975,110.075,0.342105263157895,1965
"03113","Alicante/Alacant","Rojales",61.5416764132554,58.37625,64.9575,0,7956
"03114","Alicante/Alacant","Romana, la",96.9961208576998,88.8,106.1125,0.241715399610136,2062
