Municipios;Sexo;Periodo;Total
21008 Aroche;Hombres;2002;1.674
21008 Aroche;Hombres;2001;1.703
21008 Aroche;Hombres;2000;1.738
21008 Aroche;Hombres;1999;1.745
21008 Aroche;Hombres;1998;1.755
21008 Aroche;Hombres;1997;""
21008 Aroche;Hombres;1996;1.771
21008 Aroche;Mujeres;2019;1.545
21008 Aroche;Mujeres;2018;1.556
21008 Aroche;Mujeres;2017;1.558
21008 Aroche;Mujeres;2016;1.571
21008 Aroche;Mujeres;2015;1.584
21008 Aroche;Mujeres;2014;1.600
21008 Aroche;Mujeres;2013;1.619
21008 Aroche;Mujeres;2012;1.634
21008 Aroche;Mujeres;2011;1.641
21008 Aroche;Mujeres;2010;1.610
21008 Aroche;Mujeres;2009;1.574
21008 Aroche;Mujeres;2008;1.627
21008 Aroche;Mujeres;2007;1.674
21008 Aroche;Mujeres;2006;1.634
21008 Aroche;Mujeres;2005;1.685
21008 Aroche;Mujeres;2004;1.704
21008 Aroche;Mujeres;2003;1.717
21008 Aroche;Mujeres;2002;1.710
21008 Aroche;Mujeres;2001;1.743
21008 Aroche;Mujeres;2000;1.765
21008 Aroche;Mujeres;1999;1.772
21008 Aroche;Mujeres;1998;1.787
21008 Aroche;Mujeres;1997;""
21008 Aroche;Mujeres;1996;1.810
21009 Arroyomolinos de León;Total;2019;953
21009 Arroyomolinos de León;Total;2018;""
21009 Arroyomolinos de León;Total;2017;""
21009 Arroyomolinos de León;Total;2016;""
21009 Arroyomolinos de León;Total;2015;""
21009 Arroyomolinos de León;Total;2014;""
21009 Arroyomolinos de León;Total;2013;""
21009 Arroyomolinos de León;Total;2012;""
21009 Arroyomolinos de León;Total;2011;""
21009 Arroyomolinos de León;Total;2010;""
21009 Arroyomolinos de León;Total;2009;""
21009 Arroyomolinos de León;Total;2008;""
21009 Arroyomolinos de León;Total;2007;""
21009 Arroyomolinos de León;Total;2006;""
21009 Arroyomolinos de León;Total;2005;""
21009 Arroyomolinos de León;Total;2004;""
21009 Arroyomolinos de León;Total;2003;""
21009 Arroyomolinos de León;Total;2002;""
21009 Arroyomolinos de León;Total;2001;""
21009 Arroyomolinos de León;Total;2000;""
21009 Arroyomolinos de León;Total;1999;""
21009 Arroyomolinos de León;Total;1998;""
21009 Arroyomolinos de León;Total;1997;""
21009 Arroyomolinos de León;Total;1996;""
21009 Arroyomolinos de León;Hombres;2019;493
21009 Arroyomolinos de León;Hombres;2018;502
21009 Arroyomolinos de León;Hombres;2017;514
21009 Arroyomolinos de León;Hombres;2016;512
21009 Arroyomolinos de León;Hombres;2015;525
21009 Arroyomolinos de León;Hombres;2014;519
21009 Arroyomolinos de León;Hombres;2013;532
21009 Arroyomolinos de León;Hombres;2012;521
21009 Arroyomolinos de León;Hombres;2011;528
21009 Arroyomolinos de León;Hombres;2010;539
21009 Arroyomolinos de León;Hombres;2009;526
21009 Arroyomolinos de León;Hombres;2008;536
21009 Arroyomolinos de León;Hombres;2007;528
21009 Arroyomolinos de León;Hombres;2006;538
21009 Arroyomolinos de León;Hombres;2005;549
21009 Arroyomolinos de León;Hombres;2004;563
21009 Arroyomolinos de León;Hombres;2003;567
21009 Arroyomolinos de León;Hombres;2002;573
21009 Arroyomolinos de León;Hombres;2001;583
21009 Arroyomolinos de León;Hombres;2000;594
21009 Arroyomolinos de León;Hombres;1999;599
21009 Arroyomolinos de León;Hombres;1998;591
21009 Arroyomolinos de León;Hombres;1997;""
21009 Arroyomolinos de León;Hombres;1996;599
21009 Arroyomolinos de León;Mujeres;2019;460
21009 Arroyomolinos de León;Mujeres;2018;463
21009 Arroyomolinos de León;Mujeres;2017;467
21009 Arroyomolinos de León;Mujeres;2016;471
21009 Arroyomolinos de León;Mujeres;2015;493
21009 Arroyomolinos de León;Mujeres;2014;479
21009 Arroyomolinos de León;Mujeres;2013;491
21009 Arroyomolinos de León;Mujeres;2012;488
21009 Arroyomolinos de León;Mujeres;2011;503
21009 Arroyomolinos de León;Mujeres;2010;516
