Unidades territoriales;Indicadores de renta media;Periodo;Total
18015 Alicún de Ortega;Renta media por persona ;2016;6.897
18015 Alicún de Ortega;Renta media por persona ;2015;6.599
18015 Alicún de Ortega;Renta media por hogar;2017;18.971
18015 Alicún de Ortega;Renta media por hogar;2016;18.100
18015 Alicún de Ortega;Renta media por hogar;2015;17.689
1801501 Alicún de Ortega distrito 01;Renta media por persona ;2017;7.580
1801501 Alicún de Ortega distrito 01;Renta media por persona ;2016;6.897
1801501 Alicún de Ortega distrito 01;Renta media por persona ;2015;6.599
1801501 Alicún de Ortega distrito 01;Renta media por hogar;2017;18.971
1801501 Alicún de Ortega distrito 01;Renta media por hogar;2016;18.100
1801501 Alicún de Ortega distrito 01;Renta media por hogar;2015;17.689
1801501001 Alicún de Ortega sección 01001;Renta media por persona ;2017;7.580
1801501001 Alicún de Ortega sección 01001;Renta media por persona ;2016;6.897
1801501001 Alicún de Ortega sección 01001;Renta media por persona ;2015;6.599
1801501001 Alicún de Ortega sección 01001;Renta media por hogar;2017;18.971
1801501001 Alicún de Ortega sección 01001;Renta media por hogar;2016;18.100
1801501001 Alicún de Ortega sección 01001;Renta media por hogar;2015;17.689
18016 Almegíjar;Renta media por persona ;2017;9.656
18016 Almegíjar;Renta media por persona ;2016;9.123
18016 Almegíjar;Renta media por persona ;2015;9.782
18016 Almegíjar;Renta media por hogar;2017;18.098
18016 Almegíjar;Renta media por hogar;2016;17.733
18016 Almegíjar;Renta media por hogar;2015;19.783
1801601 Almegíjar distrito 01;Renta media por persona ;2017;9.656
1801601 Almegíjar distrito 01;Renta media por persona ;2016;9.123
1801601 Almegíjar distrito 01;Renta media por persona ;2015;9.782
1801601 Almegíjar distrito 01;Renta media por hogar;2017;18.098
1801601 Almegíjar distrito 01;Renta media por hogar;2016;17.733
1801601 Almegíjar distrito 01;Renta media por hogar;2015;19.783
1801601001 Almegíjar sección 01001;Renta media por persona ;2017;9.656
1801601001 Almegíjar sección 01001;Renta media por persona ;2016;9.123
