Unidades territoriales;Indicadores de renta media;Periodo;Total
0401302002 Almería sección 02002;Renta media por persona ;2015;14.768
0401302002 Almería sección 02002;Renta media por hogar;2017;37.572
0401302002 Almería sección 02002;Renta media por hogar;2016;37.206
0401302002 Almería sección 02002;Renta media por hogar;2015;35.341
0401302003 Almería sección 02003;Renta media por persona ;2017;17.613
0401302003 Almería sección 02003;Renta media por persona ;2016;16.661
0401302003 Almería sección 02003;Renta media por persona ;2015;16.627
0401302003 Almería sección 02003;Renta media por hogar;2017;38.428
0401302003 Almería sección 02003;Renta media por hogar;2016;36.108
0401302003 Almería sección 02003;Renta media por hogar;2015;36.649
0401302004 Almería sección 02004;Renta media por persona ;2017;16.476
0401302004 Almería sección 02004;Renta media por persona ;2016;16.124
0401302004 Almería sección 02004;Renta media por persona ;2015;15.375
0401302004 Almería sección 02004;Renta media por hogar;2017;42.641
0401302004 Almería sección 02004;Renta media por hogar;2016;42.207
0401302004 Almería sección 02004;Renta media por hogar;2015;41.140
0401302005 Almería sección 02005;Renta media por persona ;2017;19.092
0401302005 Almería sección 02005;Renta media por persona ;2016;17.950
0401302005 Almería sección 02005;Renta media por persona ;2015;17.545
0401302005 Almería sección 02005;Renta media por hogar;2017;45.638
0401302005 Almería sección 02005;Renta media por hogar;2016;43.323
0401302005 Almería sección 02005;Renta media por hogar;2015;42.562
0401302006 Almería sección 02006;Renta media por persona ;2017;17.631
0401302006 Almería sección 02006;Renta media por persona ;2016;17.285
0401302006 Almería sección 02006;Renta media por persona ;2015;17.167
0401302006 Almería sección 02006;Renta media por hogar;2017;43.200
0401302006 Almería sección 02006;Renta media por hogar;2016;43.267
0401302006 Almería sección 02006;Renta media por hogar;2015;43.858
0401303 Almería distrito 03;Renta media por persona ;2017;6.123
0401303 Almería distrito 03;Renta media por persona ;2016;5.982
0401303 Almería distrito 03;Renta media por persona ;2015;5.864
0401303 Almería distrito 03;Renta media por hogar;2017;18.289
0401303 Almería distrito 03;Renta media por hogar;2016;17.777
0401303 Almería distrito 03;Renta media por hogar;2015;17.476
0401303001 Almería sección 03001;Renta media por persona ;2017;11.773
0401303001 Almería sección 03001;Renta media por persona ;2016;11.369
0401303001 Almería sección 03001;Renta media por persona ;2015;11.111
0401303001 Almería sección 03001;Renta media por hogar;2017;29.997
0401303001 Almería sección 03001;Renta media por hogar;2016;29.590
0401303001 Almería sección 03001;Renta media por hogar;2015;29.388
0401303002 Almería sección 03002;Renta media por persona ;2017;5.698
0401303002 Almería sección 03002;Renta media por persona ;2016;5.528
0401303002 Almería sección 03002;Renta media por persona ;2015;5.497
0401303002 Almería sección 03002;Renta media por hogar;2017;15.850
